

2026-02-15 19:01:04.431395 | Group: 3 | Time: 19:00 | Venues: 22/22 | Measurements: 88 | API calls: 88
2026-02-15 21:01:02.482884 | Group: 3 | Time: 21:00 | Venues: 22/22 | Measurements: 88 | API calls: 88
2026-02-15 23:01:05.002536 | Group: 3 | Time: 23:00 | Venues: 22/22 | Measurements: 88 | API calls: 88
2026-02-16 07:01:02.317891 | Group: 3 | Time: 07:00 | Venues: 22/22 | Measurements: 88 | API calls: 88
2026-02-16 12:01:02.852966 | Group: 3 | Time: 12:00 | Venues: 22/22 | Measurements: 88 | API calls: 88
2026-02-16 17:01:02.533266 | Group: 3 | Time: 17:00 | Venues: 22/22 | Measurements: 88 | API calls: 88
2026-02-16 19:01:05.160966 | Group: 3 | Time: 19:00 | Venues: 22/22 | Measurements: 88 | API calls: 88
2026-02-16 21:01:02.893311 | Group: 3 | Time: 21:00 | Venues: 22/22 | Measurements: 88 | API calls: 88
2026-02-16 23:01:02.623756 | Group: 3 | Time: 23:00 | Venues: 22/22 | Measurements: 88 | API calls: 88
2026-02-17 07:01:02.295920 | Group: 3 | Time: 07:00 | Venues: 22/22 | Measurements: 88 | API calls: 88
2026-02-17 12:01:04.760541 | Group: 3 | Time: 12:00 | Venues: 22/22 | Measurements: 88 | API calls: 88
2026-02-17 12:21:41.602694 | Group 3 week | Not at collection time
